accuracy,train_loss,val_loss,mean_lr
0.0,0.0,0.0,0.0
0.09411764705882353,3.5614266395568848,5.493286609649658,0.0008209738706992561
0.11372549019607843,3.134384870529175,4.685660362243652,0.0020515750367981807
0.12941176470588237,2.9917445182800293,4.51607608795166,0.004292916000406137
0.1450980392156863,2.8657937049865723,3.861544370651245,0.007156396620690982
0.14411764705882352,2.672886610031128,4.896866321563721,0.010145551170045824
0.153921568627451,2.5066967010498047,3.8535594940185547,0.012742124774398095
0.1843137254901961,2.368474245071411,3.6692895889282227,0.01449592762116881
0.25588235294117645,2.2596654891967773,3.0509233474731445,0.01512646307518884
0.22058823529411764,2.108283519744873,3.767569065093994,0.01502067962272213
0.3088235294117647,2.0027754306793213,2.858428955078125,0.01465610026400947
0.30686274509803924,1.8953135013580322,3.118399143218994,0.014064029930802786
0.34509803921568627,1.8464435338974,2.7508459091186523,0.013263498250768448
0.3843137254901961,1.649914264678955,2.404513120651245,0.012280234970782402
0.40490196078431373,1.5991716384887695,2.432569980621338,0.011145842981695128
0.41568627450980394,1.4830998182296753,2.290499210357666,0.00989678257541673
0.5186274509803922,1.3280235528945923,1.8734910488128662,0.00857319958113533
0.5186274509803922,1.2016440629959106,1.9285614490509033,0.007217635045334833
0.596078431372549,1.095563292503357,1.5111037492752075,0.005873657927558091
0.5852941176470589,0.9204717874526978,1.4766037464141846,0.0045844647581985
0.6725490196078432,0.7847564816474915,1.2004451751708984,0.0033914912664709555
0.6784313725490196,0.6592468619346619,1.3249011039733887,0.002333080601981432
0.734313725490196,0.5411319136619568,0.9948743581771851,0.0014432509543498236
0.7441176470588236,0.4468368589878082,0.969626247882843,0.0007506021806052822
0.7470588235294118,0.376158744096756,0.9585981369018555,0.00027739658224926514
0.7441176470588236,0.36491888761520386,0.9507081508636475,3.88433765677996e-05
